observation_date,HOUST,MSACSRNSA,FEDFUNDS,PCEPI,USSTHPI,USRECQ,GDPC1,T10Y3M
2006-01-01,2273,5.9,4.29,83.534,122.87333333333333,0.0,5451.278333333333,0.08
2006-02-01,2119,6.1,4.49,83.584,122.87333333333333,0.0,5451.278333333333,0.02947368421052632
2006-03-01,1969,5.1,4.59,83.746,122.87333333333333,0.0,5451.278333333333,0.09608695652173913
2006-04-01,1821,5.6,4.79,84.135,124.13,0.0,5465.3836666666675,0.26894736842105266
2006-05-01,1942,5.5,4.94,84.361,124.13,0.0,5465.3836666666675,0.2736363636363636
2006-06-01,1802,5.8,4.99,84.569,124.13,0.0,5465.3836666666675,0.18863636363636366
2006-07-01,1737,6.9,5.24,84.858,125.14999999999999,0.0,5473.579333333334,0.011
2006-08-01,1650,6.5,5.25,85.125,125.14999999999999,0.0,5473.579333333334,-0.21391304347826087
2006-09-01,1720,7.0,5.25,84.902,125.14999999999999,0.0,5473.579333333334,-0.211
2006-10-01,1491,7.5,5.25,84.702,126.43333333333334,0.0,5520.622,-0.31714285714285717
2006-11-01,1570,7.8,5.25,84.731,126.43333333333334,0.0,5520.622,-0.4780952380952381
2006-12-01,1649,7.6,5.24,85.032,126.43333333333334,0.0,5520.622,-0.4085
2007-01-01,1409,8.2,5.25,85.316,126.90666666666668,0.0,5537.23,-0.3457142857142857
2007-02-01,1480,8.0,5.26,85.581,126.90666666666668,0.0,5537.23,-0.44052631578947365
2007-03-01,1495,6.8,5.26,85.894,126.90666666666668,0.0,5537.23,-0.5154545454545455
2007-04-01,1490,6.5,5.25,86.096,126.82333333333334,0.0,5571.104666666666,-0.3128571428571429
2007-05-01,1415,6.9,5.25,86.346,126.82333333333334,0.0,5571.104666666666,-0.12136363636363635
2007-06-01,1448,7.5,5.25,86.529,126.82333333333334,0.0,5571.104666666666,0.36095238095238097
2007-07-01,1354,8.0,5.26,86.661,125.40666666666668,0.0,5603.1956666666665,0.04333333333333333
2007-08-01,1330,8.9,5.02,86.72,125.40666666666668,0.0,5603.1956666666665,0.35782608695652174
2007-09-01,1183,9.9,4.94,87.054,125.40666666666668,0.0,5603.1956666666665,0.5273684210526316
2007-10-01,1264,9.0,4.76,87.318,124.99666666666667,0.0,5638.397,0.525
2007-11-01,1197,11.2,4.49,87.781,124.99666666666667,0.0,5638.397,0.794
2007-12-01,1037,11.4,4.24,87.984,124.99666666666667,0.0,5638.397,1.0310000000000001
2008-01-01,1084,11.1,3.94,88.206,124.07666666666667,0.3333333333333333,5614.334333333333,0.9242857142857143
2008-02-01,1103,9.9,2.98,88.382,124.07666666666667,0.3333333333333333,5614.334333333333,1.5635
2008-03-01,1005,9.5,2.61,88.635,124.07666666666667,0.3333333333333333,5614.334333333333,2.2265
2008-04-01,1013,9.3,2.28,88.799,120.94666666666666,0.3333333333333333,5647.763666666667,2.3631818181818183
2008-05-01,973,9.3,1.98,89.18,120.94666666666666,0.3333333333333333,5647.763666666667,2.1157142857142857
2008-06-01,1046,9.6,2.0,89.827,120.94666666666666,0.3333333333333333,5647.763666666667,2.209047619047619
2008-07-01,923,9.8,2.01,90.245,117.13,0.3333333333333333,5618.098333333332,2.3527272727272726
2008-08-01,844,10.8,2.0,90.172,117.13,0.3333333333333333,5618.098333333332,2.132857142857143
2008-09-01,820,11.4,1.81,90.247,117.13,0.3333333333333333,5618.098333333332,2.5395238095238093
2008-10-01,777,12.0,0.97,89.651,116.05,0.3333333333333333,5495.116666666666,3.128181818181818
2008-11-01,652,13.6,0.39,88.593,116.05,0.3333333333333333,5495.116666666666,3.332777777777778
2008-12-01,560,13.6,0.16,88.098,116.05,0.3333333333333333,5495.116666666666,2.3822727272727273
2009-01-01,490,14.3,0.15,88.108,116.90666666666668,0.3333333333333333,5432.754,2.388
2009-02-01,582,11.2,0.22,88.266,116.90666666666668,0.3333333333333333,5432.754,2.5747368421052634
2009-03-01,505,9.9,0.18,88.169,116.90666666666668,0.3333333333333333,5432.754,2.6036363636363635
2009-04-01,478,9.4,0.15,88.295,113.84333333333332,0.3333333333333333,5423.048333333333,2.769047619047619
2009-05-01,540,8.4,0.18,88.387,113.84333333333332,0.3333333333333333,5423.048333333333,3.116
2009-06-01,585,7.6,0.21,88.912,113.84333333333332,0.3333333333333333,5423.048333333333,3.5431818181818184
2009-07-01,594,7.2,0.16,88.922,110.87333333333333,0.0,5442.093666666667,3.3786363636363634
2009-08-01,586,7.3,0.16,89.18,110.87333333333333,0.0,5442.093666666667,3.415238095238095
2009-09-01,585,8.4,0.15,89.324,110.87333333333333,0.0,5442.093666666667,3.2785714285714285
2009-10-01,534,7.4,0.12,89.663,110.02999999999999,0.0,5500.918000000001,3.3133333333333335
2009-11-01,588,9.0,0.12,89.887,110.02999999999999,0.0,5500.918000000001,3.3505263157894736
2009-12-01,581,9.6,0.12,89.939,110.02999999999999,0.0,5500.918000000001,3.5354545454545456
2010-01-01,614,9.7,0.11,90.136,108.71666666666665,0.0,5527.57,3.6715789473684213
2010-02-01,604,8.6,0.13,90.134,108.71666666666665,0.0,5527.57,3.582105263157895
2010-03-01,636,6.3,0.16,90.261,108.71666666666665,0.0,5527.57,3.57695652173913
2010-04-01,687,5.3,0.2,90.31,107.73,0.0,5581.054,3.6845454545454546
2010-05-01,583,8.3,0.2,90.339,107.73,0.0,5581.054,3.2600000000000002
2010-06-01,536,7.5,0.18,90.301,107.73,0.0,5581.054,3.080454545454545
2010-07-01,546,7.9,0.18,90.378,108.77666666666666,0.0,5624.0886666666665,2.853809523809524
2010-08-01,599,8.9,0.19,90.502,108.77666666666666,0.0,5624.0886666666665,2.5436363636363635
2010-09-01,594,8.2,0.19,90.592,108.77666666666666,0.0,5624.0886666666665,2.4957142857142856
2010-10-01,543,8.7,0.19,90.881,108.0,0.0,5653.6213333333335,2.4055
2010-11-01,545,9.5,0.19,91.062,108.0,0.0,5653.6213333333335,2.62
2010-12-01,539,8.3,0.18,91.268,108.0,0.0,5653.6213333333335,3.15
2011-01-01,630,8.6,0.17,91.542,105.0,0.0,5640.210666666667,3.242
2011-02-01,517,8.3,0.16,91.797,105.0,0.0,5640.210666666667,3.444210526315789
2011-03-01,600,6.4,0.14,92.166,105.0,0.0,5640.210666666667,3.313913043478261
2011-04-01,554,5.7,0.1,92.557,103.15333333333332,0.0,5678.3713333333335,3.3965000000000005
2011-05-01,561,5.9,0.09,92.838,103.15333333333332,0.0,5678.3713333333335,3.127619047619048
2011-06-01,608,5.9,0.09,92.819,103.15333333333332,0.0,5678.3713333333335,2.9650000000000003
2011-07-01,623,6.1,0.07,92.977,103.92333333333333,0.0,5677.104333333333,2.9655
2011-08-01,585,6.6,0.1,93.196,103.92333333333333,0.0,5677.104333333333,2.278695652173913
2011-09-01,650,6.7,0.08,93.327,103.92333333333333,0.0,5677.104333333333,1.9614285714285713
2011-10-01,610,6.4,0.07,93.329,104.39999999999999,0.0,5740.861,2.133
2011-11-01,711,6.9,0.08,93.52,104.39999999999999,0.0,5740.861,1.9994999999999998
2011-12-01,694,6.3,0.07,93.574,104.39999999999999,0.0,5740.861,1.9666666666666666
2012-01-01,723,6.3,0.08,93.894,103.30666666666667,0.0,5789.003333333333,1.932
2012-02-01,704,4.9,0.1,94.104,103.30666666666667,0.0,5789.003333333333,1.8755
2012-03-01,695,4.3,0.13,94.284,103.30666666666667,0.0,5789.003333333333,2.088636363636364
2012-04-01,753,4.2,0.14,94.408,102.83333333333333,0.0,5814.841666666667,1.9690476190476192
