observation_date,USSTHPI
2006-01-01,368.62
2006-04-01,372.39
2006-07-01,375.45
2006-10-01,379.30
2007-01-01,380.72
2007-04-01,380.47
2007-07-01,376.22
2007-10-01,374.99
2008-01-01,372.23
2008-04-01,362.84
2008-07-01,351.39
2008-10-01,348.15
2009-01-01,350.72
2009-04-01,341.53
2009-07-01,332.62
2009-10-01,330.09
2010-01-01,326.15
2010-04-01,323.19
2010-07-01,326.33
2010-10-01,324.00
2011-01-01,315.00
2011-04-01,309.46
2011-07-01,311.77
2011-10-01,313.20
2012-01-01,309.92
2012-04-01,308.50
2012-07-01,312.62
2012-10-01,315.07
