observation_date,MSACSRNSA
2006-01-01,5.9
2006-02-01,6.1
2006-03-01,5.1
2006-04-01,5.6
2006-05-01,5.5
2006-06-01,5.8
2006-07-01,6.9
2006-08-01,6.5
2006-09-01,7.0
2006-10-01,7.5
2006-11-01,7.8
2006-12-01,7.6
2007-01-01,8.2
2007-02-01,8.0
2007-03-01,6.8
2007-04-01,6.5
2007-05-01,6.9
2007-06-01,7.5
2007-07-01,8.0
2007-08-01,8.9
2007-09-01,9.9
2007-10-01,9.0
2007-11-01,11.2
2007-12-01,11.4
2008-01-01,11.1
2008-02-01,9.9
2008-03-01,9.5
2008-04-01,9.3
2008-05-01,9.3
2008-06-01,9.6
2008-07-01,9.8
2008-08-01,10.8
2008-09-01,11.4
2008-10-01,12.0
2008-11-01,13.6
2008-12-01,13.6
2009-01-01,14.3
2009-02-01,11.2
2009-03-01,9.9
2009-04-01,9.4
2009-05-01,8.4
2009-06-01,7.6
2009-07-01,7.2
2009-08-01,7.3
2009-09-01,8.4
2009-10-01,7.4
2009-11-01,9.0
2009-12-01,9.6
2010-01-01,9.7
2010-02-01,8.6
2010-03-01,6.3
2010-04-01,5.3
2010-05-01,8.3
2010-06-01,7.5
2010-07-01,7.9
2010-08-01,8.9
2010-09-01,8.2
2010-10-01,8.7
2010-11-01,9.5
2010-12-01,8.3
2011-01-01,8.6
2011-02-01,8.3
2011-03-01,6.4
2011-04-01,5.7
2011-05-01,5.9
2011-06-01,5.9
2011-07-01,6.1
2011-08-01,6.6
2011-09-01,6.7
2011-10-01,6.4
2011-11-01,6.9
2011-12-01,6.3
2012-01-01,6.3
2012-02-01,4.9
2012-03-01,4.3
2012-04-01,4.2
2012-05-01,4.2
2012-06-01,4.2
2012-07-01,4.3
2012-08-01,4.7
2012-09-01,4.8
2012-10-01,5.2
2012-11-01,5.4
2012-12-01,5.3
