observation_date,RPI
2006-01-01,13214.527
2006-02-01,13283.182
2006-03-01,13340.072
2006-04-01,13347.045
2006-05-01,13336.874
2006-06-01,13353.303
2006-07-01,13342.387
2006-08-01,13329.621
2006-09-01,13408.301
2006-10-01,13479.950
2006-11-01,13547.935
2006-12-01,13627.346
2007-01-01,13651.743
2007-02-01,13711.191
2007-03-01,13762.811
2007-04-01,13784.697
2007-05-01,13791.861
2007-06-01,13786.416
2007-07-01,13795.953
2007-08-01,13795.066
2007-09-01,13813.791
2007-10-01,13796.513
2007-11-01,13787.506
2007-12-01,13846.539
2008-01-01,13862.766
2008-02-01,13877.177
2008-03-01,13893.695
2008-04-01,13854.440
2008-05-01,14441.892
2008-06-01,14094.894
2008-07-01,13867.615
2008-08-01,13780.340
2008-09-01,13789.923
2008-10-01,13883.254
2008-11-01,13982.019
2008-12-01,13891.878
2009-01-01,13762.240
2009-02-01,13603.699
2009-03-01,13570.847
2009-04-01,13601.477
2009-05-01,13779.884
2009-06-01,13544.781
2009-07-01,13493.206
2009-08-01,13468.487
2009-09-01,13502.606
2009-10-01,13460.827
2009-11-01,13494.222
2009-12-01,13551.644
2010-01-01,13610.249
2010-02-01,13610.405
2010-03-01,13661.363
2010-04-01,13776.728
2010-05-01,13885.106
2010-06-01,13898.726
2010-07-01,13928.888
2010-08-01,13980.745
2010-09-01,13989.519
2010-10-01,14000.339
2010-11-01,14018.501
2010-12-01,14104.762
2011-01-01,14289.288
2011-02-01,14331.186
2011-03-01,14298.318
2011-04-01,14275.294
2011-05-01,14260.443
2011-06-01,14324.383
2011-07-01,14386.123
2011-08-01,14378.666
2011-09-01,14359.760
2011-10-01,14364.710
2011-11-01,14349.583
2011-12-01,14479.330
2012-01-01,14518.055
2012-02-01,14591.389
2012-03-01,14635.020
2012-04-01,14689.558
2012-05-01,14687.217
2012-06-01,14680.673
2012-07-01,14586.106
2012-08-01,14553.669
2012-09-01,14662.932
2012-10-01,14761.628
2012-11-01,14962.471
2012-12-01,15333.647
